Комплект,Наименование,Артикул,Розничная цена,,Ссылка на сайт
Управление климатом (для термоголовок),Радиаторный термостат FIBARO Heat Controller с внешним датчиком температуры,FIB_FGT-START,"7 989,00",,https://rus.z-wave.me/shop/radiatornyy-termostat-fibaro-heat-controller-s-datchikom
Управление климатом (для термоголовок),Терморегулятор Eurotronic Spirit,EUR_SPIRIT,"5 080,00",,https://rus.z-wave.me/shop/termoregulyator-eurotronic-spirit
Управление климатом (для теплого пола),Термостат теплого пола Heatit (белый),HEA_5430499,"11 900,00",,https://rus.z-wave.me/shop/termostat-teplogo-pola-heatit
Управление климатом (для теплого пола),Термостат теплого пола Heatit (черный),HEA_5430498,"11 900,00",,https://rus.z-wave.me/shop/termostat-teplogo-pola-heatit
Управление климатом (для теплого пола),"Встраиваемый модуль-термостат с сенсором для эл.оборгевательных устройств 
Qubino On/Off Thermostat",GOA_ZMNHID4,"5 920,00",,https://rus.z-wave.me/shop/vstraivaemyy-modul-termostat-s-sensorom-dlya-eloborgevatelnykh-ustroystv-qubino-onoff-thermostat
Управление климатом (для теплого пола),Настенный комнатный термостат SRT 321,SEC_SRT321,"7 530,00",,https://rus.z-wave.me/shop/secure-wall-thermostat-with-lcd-display
Управление климатом (для теплого пола),Блок управления термоэлектрическими приводами Danfoss на 10 каналов,DAN_HC10,"32 540,00",,https://rus.z-wave.me/shop/blok-upravleniya-termoelektricheskimi-privodami-danfoss-na-10-kanalov
Управление климатом (для теплого пола),Блок управления термоэлектрическими приводами Danfoss на 5 каналов,DAN_HC5,"27 450,00",,https://rus.z-wave.me/shop/blok-upravleniya-termoelektricheskimi-privodami-danfoss-na-5-kanalov
Управление климатом (для кондиционеров),Устройство управления кондиционерами Philio,PHI_PAR01,"6 490,00",,https://rus.z-wave.me/shop/ustroystvo-upravleniya-konditsionerami-philio-par01
Управление светом,Встраиваемое одинарное реле Philio с энергоизмерением,PHI_PAN03,"4 060,00",,https://rus.z-wave.me/shop/philio-odnokanalnoe-rele-s-energoizmereniem
Управление светом,Встраиваемое двойное реле Philio с энергоизмерением,PHI_PAN04,"4 060,00",,https://rus.z-wave.me/shop/philio-dvukhkanalnoe-rele-s-energoizmereniem
"Управление светом,
Безопасность",Датчик движения Philio для крепления на поверхность,PHI_PSP05-A,"4 360,00",,https://rus.z-wave.me/shop/philio-datchik-dvizheniya-2-zony
"Управление светом,
Безопасность",Датчик движения Philio 3 в 1,PHI_PST02-B,"4 220,00",,https://rus.z-wave.me/shop/multisensor-philio-3-v-1
Управление светом,Модуль управления светодиодными лентами FIBARO RGBW Controller,FIB_FGRGB-101,"5 479,00",,https://rus.z-wave.me/shop/fibaro-rgbw
Управление светом,Встраиваемый диммер FIBARO Dimmer 2,FIB_FGD-212,"5 479,00",,https://rus.z-wave.me/shop/fibaro-dimmer-2
Энергоизмерение,Клещи токоизмерительные Philio,PHI_PAB01,"5 490,00",,https://rus.z-wave.me/shop/tokoizmeritelnye-kleshchi-philio
Безопасность (пожар),Датчик дыма FIBARO Smoke Sensor,FIB_FGSD-002,"5 769,00",,https://rus.z-wave.me/shop/fibaro-smoke-detector
Безопасность (пожар),Датчик дыма Philio,PHI_PSG01,"4 770,00",,https://rus.z-wave.me/shop/datchik-dyma-philio
"Безопасность (проникновение, пожар)",Сирена с визуальным и звуковым оповещением Philio,PHI_PSE02-B,"4 990,00",,https://rus.z-wave.me/shop/sirena-s-vizualnym-i-zvukovym-opoveshcheniem-philio
Безопасность (проникновение),Датчик открытия двери/окна 3 в 1 Philio,PHI_PST02-C,"3 660,00",,https://rus.z-wave.me/shop/datchik-otkrytiya-philio-3-v-1
Безопасность (проникновение),Мультисенсор Philio MultiSensor 4 в 1,PHI_PST02-A,"4 390,00",,https://rus.z-wave.me/shop/multisensor-filio-4-in-1
Безопасность (протечка),Датчик протечки и температуры FIBARO Flood Sensor,FIB_FGFS-101,"5 329,00",,https://rus.z-wave.me/shop/fibaro-flood-sensor
Безопасность (протечка),"Комплект из 2х приводов Gidrolock (гор/хол), проводного датчика протечки и батареек.",GID_WINNER_1/2_ZW_1/2_TIEMME_WSP3,"17 300,00",,http://gidrolock.ru/production/gidrolock-winner/
